1996 01 01 00 50083.0	 -3.777835837653556e-08  -7.081944322774159e-08  -7.898022967974931e-11   6.219392214256478e-08   4.971169115440687e-08   3.206710776401802e-09
1996 01 01 03 50083.125	 -3.215381170868109e-08  -6.870243508157210e-08  -1.083144538323779e-10   5.069736557852520e-08   5.456075918842822e-08   3.189143425235476e-09
1996 01 01 06 50083.250	 -2.448107452088506e-08  -6.555803686243426e-08  -1.222062932896846e-10   7.207077813368784e-08   9.952391797064131e-08   3.177934978870852e-09
1996 01 01 09 50083.375	 -1.820477395348068e-08  -6.387504004031748e-08  -1.536311817488268e-10   3.892222590471788e-08   1.165907333696396e-07   3.078654137231338e-09
1996 01 01 12 50083.500	 -9.716145396100901e-09  -5.798174010792164e-08  -1.489313158733196e-10   4.218155839688953e-08   1.345478043834190e-07   2.975665649723437e-09
1996 01 01 15 50083.625	 -5.814710024329775e-09  -5.604512713211347e-08  -1.931050114511347e-10   5.516181490726051e-08   1.426632511472551e-07   2.921016766738001e-09
1996 01 01 18 50083.750	 -7.296792816266160e-09  -5.376670998505191e-08  -2.318147564825705e-10   7.187509151871035e-08   1.593083073151128e-07   2.909073305357210e-09
1996 01 01 21 50083.875	 -1.019505817049966e-08  -5.707224411043741e-08  -2.070179546584262e-10   7.296144524508848e-08   1.649426826218373e-07   2.856834678419909e-09
1996 01 02 00 50084.0	 -1.297529042253191e-08  -5.378755171991652e-08  -1.742280330122750e-10   9.188736560949105e-08   1.694972104879322e-07   2.779691264534580e-09
1996 01 02 03 50084.125	 -1.884232439702835e-08  -5.725344877349055e-08  -1.719544507741964e-10   7.115440165534717e-08   1.440129827344389e-07   2.893094938044042e-09
1996 01 02 06 50084.250	 -2.546816409805342e-08  -5.836258977121067e-08  -1.441335509282576e-10   4.933013699130638e-08   1.399251385312765e-07   2.993659592892018e-09
1996 01 02 09 50084.375	 -3.431721039933339e-08  -5.845016834758479e-08  -1.188535941055855e-10   4.156768995825713e-08   1.509787619715861e-07   2.957893701612787e-09
1996 01 02 12 50084.500	 -3.917306241121421e-08  -5.371747584077366e-08  -7.116645848267946e-11   4.457830085500903e-08   1.773901831948505e-07   2.917792214500436e-09
1996 01 02 15 50084.625	 -4.800667052034693e-08  -4.969108991831981e-08  -6.727768601581345e-11   1.696486278308389e-08   2.052059446130162e-07   2.883189310489159e-09
1996 01 02 18 50084.750	 -5.449532610336636e-08  -4.754082745173350e-08  -6.505325802416677e-11   2.176738310555595e-08   2.696525273513429e-07   2.819028126623233e-09
1996 01 02 21 50084.875	 -5.904496333773571e-08  -5.456268442422487e-08  -4.734942131333594e-11   1.017584719985809e-07   2.892185045149558e-07   2.781021294648382e-09
1996 01 03 00 50085.0	 -6.347739963223639e-08  -5.833444043216966e-08  -5.468032355257606e-11   1.913235897942740e-07   2.739517041084852e-07   2.777107821919122e-09
1996 01 03 03 50085.125	 -6.784079859579707e-08  -6.394117626727661e-08  -6.655444828882756e-11   1.864813468178016e-07   2.186262698724670e-07   2.740595496304206e-09
1996 01 03 06 50085.250	 -7.085124635812201e-08  -6.708815510184455e-08  -5.890714014146847e-11   1.588594547447427e-07   1.551043176206587e-07   2.595774924839478e-09
1996 01 03 09 50085.375	 -7.321433624636652e-08  -7.364563960379645e-08  -7.038568255657547e-11   1.647413840789297e-07   1.140357599194171e-07   2.498925284013460e-09
1996 01 03 12 50085.500	 -7.512992574561541e-08  -7.201379060550441e-08  -1.063136682902670e-10   1.492610313763683e-07   1.312855782122497e-07   2.489082794825257e-09
1996 01 03 15 50085.625	 -7.507158699012752e-08  -7.520526435673801e-08  -1.459496075153818e-10   1.424284309351051e-07   1.622959418876836e-07   2.482108834077876e-09
1996 01 03 18 50085.750	 -7.031096920579051e-08  -6.906903527313468e-08  -1.725950552210434e-10   1.456339875262353e-07   1.969067998394512e-07   2.385332132228799e-09
1996 01 03 21 50085.875	 -5.897673339508918e-08  -6.248223463115958e-08  -2.060199245228321e-10   1.459671691138424e-07   1.588064949141218e-07   2.261576882504958e-09
1996 01 04 00 50086.0	 -5.119317938283594e-08  -6.136730713381621e-08  -2.768342418864162e-10   1.710138616302698e-07   1.459699587337380e-07   2.215532078469941e-09
1996 01 04 03 50086.125	 -4.066042059939871e-08  -6.684469241385647e-08  -3.339261512626934e-10   1.865153651440078e-07   1.231075433145614e-07   2.119189401547961e-09
1996 01 04 06 50086.250	 -2.836224127033936e-08  -6.456706408854519e-08  -3.782593228719968e-10   1.997585434263287e-07   9.474416003753827e-08   1.960429659757209e-09
1996 01 04 09 50086.375	 -1.313796476533026e-08  -6.541421959789971e-08  -4.129204560213156e-10   1.475433271092402e-07   5.231221047419408e-08   1.863718661085788e-09
1996 01 04 12 50086.500	 -7.425394549671274e-11  -6.658048245498930e-08  -4.564013368518291e-10   1.128473068050866e-07   5.278241753347472e-08   1.844822358289941e-09
1996 01 04 15 50086.625	  7.154401296546232e-09  -7.194409477874625e-08  -4.899560373677128e-10   1.358301334333195e-07   2.562441669646643e-08   1.794095860494061e-09
1996 01 04 18 50086.750	  2.165502795017543e-08  -7.220542095783848e-08  -5.109823568999767e-10   1.397309132096983e-07  -2.530569730782648e-09   1.680928144814378e-09
1996 01 04 21 50086.875	  3.583722290169446e-08  -7.288910996291659e-08  -5.359393824662697e-10   4.925285209310859e-08   1.895071833426742e-08   1.619503183026559e-09
1996 01 05 00 50087.0	  4.644542109599558e-08  -7.303354115788067e-08  -5.717523631602212e-10   2.859179238773142e-08   6.117952849652548e-08   1.621890840090709e-09
