2008 01 01 12 54466.500	 -1.260108987148070e-08  -1.660605245301007e-08   1.119970532654587e-10  -9.346687685850480e-11  -4.691857751482120e-11   3.525919679865940e-13
2008 01 02 12 54467.500	 -1.216429552164570e-08  -1.598664082191012e-08   1.219195010091589e-10  -9.506177931368600e-11  -4.807910503511140e-11   3.583736653178640e-13
2008 01 03 12 54468.500	 -1.215862825473769e-08  -1.550565260019004e-08   1.385987668574569e-10  -9.659185221674560e-11  -4.925036546007950e-11   3.641963692682590e-13
2008 01 04 12 54469.500	 -1.150228645913969e-08  -1.442879061266005e-08   1.779351954402587e-10  -9.806368116431779e-11  -5.047895356662470e-11   3.703235587735970e-13
2008 01 05 12 54470.500	 -1.137212578161970e-08  -1.290744508697008e-08   1.972752939893600e-10  -9.952737268750061e-11  -5.173340622753350e-11   3.765595102877720e-13
2008 01 06 12 54471.500	 -1.203797768217769e-08  -1.309115607210011e-08   2.196375790058599e-10  -1.009650263949430e-10  -5.296812956810160e-11   3.828104212067080e-13
2008 01 07 12 54472.500	 -1.287419177158570e-08  -1.300210932037015e-08   2.333839033984594e-10  -1.022677360161690e-10  -5.409165576201140e-11   3.890890380669740e-13
2008 01 08 12 54473.500	 -1.248122401435470e-08  -1.087083109697017e-08   2.636895674010588e-10  -1.035121676615790e-10  -5.516029180629290e-11   3.954672282393540e-13
2008 01 09 12 54474.500	 -1.141559319132169e-08  -9.028035027700083e-09   2.903933180347601e-10  -1.048236746753260e-10  -5.615979249548310e-11   4.020157664970170e-13
2008 01 10 12 54475.500	 -1.005874466228270e-08  -7.498776444960107e-09   3.119020215585584e-10  -1.060644962138680e-10  -5.724732104543080e-11   4.085829610949470e-13
2008 01 11 12 54476.500	 -9.521965088560686e-09  -8.458865677330078e-09   3.457898321041578e-10  -1.073206107886660e-10  -5.845522028576210e-11   4.153578618116530e-13
2008 01 12 12 54477.500	 -9.193490537402699e-09  -9.040059691969996e-09   3.661784963770585e-10  -1.087127274272050e-10  -5.970408232120780e-11   4.222786180889430e-13
2008 01 13 12 54478.500	 -8.339879419254699e-09  -9.163617345809991e-09   3.865526337925598e-10  -1.100599849477090e-10  -6.095593599845530e-11   4.289722595936890e-13
2008 01 14 12 54479.500	 -7.999170467175701e-09  -9.467063323870173e-09   4.122427023152589e-10  -1.115412408821030e-10  -6.229013786937760e-11   4.358699748574240e-13
2008 01 15 12 54480.500	 -9.437108095018702e-09  -9.984248471650118e-09   4.553872333000589e-10  -1.131481623542260e-10  -6.373887590315460e-11   4.428447117156520e-13
2008 01 16 12 54481.500	 -1.063341544417069e-08  -1.011436623504014e-08   4.885964217400591e-10  -1.147437443334440e-10  -6.516624210751790e-11   4.496614774771460e-13
2008 01 17 12 54482.500	 -1.177263909534671e-08  -8.153518089480064e-09   5.090584817664597e-10  -1.163715302653710e-10  -6.654349832517130e-11   4.564400267881110e-13
2008 01 18 12 54483.500	 -1.186818125218969e-08  -7.137125713030002e-09   5.363080822593577e-10  -1.179130163890800e-10  -6.790229898959461e-11   4.630849209401020e-13
2008 01 19 12 54484.500	 -1.056862084337770e-08  -8.352399119700167e-09   5.593046546079591e-10  -1.192963420515630e-10  -6.922988226221850e-11   4.696503464550660e-13
2008 01 20 12 54485.500	 -8.137305217640705e-09  -1.014653252320012e-08   5.816190685906593e-10  -1.206696364057800e-10  -7.052102020998919e-11   4.758380351395150e-13
2008 01 21 12 54486.500	 -6.425671592163703e-09  -1.210977092836011e-08   6.112929818391591e-10  -1.220020294936660e-10  -7.181410284718961e-11   4.819428428820930e-13
2008 01 22 12 54487.500	 -4.900418503417705e-09  -1.383643535606015e-08   6.396842559486600e-10  -1.232960656854510e-10  -7.318697448409519e-11   4.881162630742660e-13
2008 01 23 12 54488.500	 -1.617190053945710e-09  -1.709307718140015e-08   6.755787205562574e-10  -1.246763125848320e-10  -7.453477621152330e-11   4.942956506747341e-13
2008 01 24 12 54489.500	  1.533584436285302e-09  -1.913432881632013e-08   7.048522868896600e-10  -1.261873394954310e-10  -7.588085321439990e-11   5.003794911086200e-13
2008 01 25 12 54490.500	  5.414999081684306e-09  -2.179073327694007e-08   7.374991815897576e-10  -1.278159686898580e-10  -7.730227441467170e-11   5.064987696425550e-13
2008 01 26 12 54491.500	  9.840960080846306e-09  -2.547179392328017e-08   7.834695869551585e-10  -1.293731484835260e-10  -7.873709652778960e-11   5.126562916976200e-13
2008 01 27 12 54492.500	  1.525618495536631e-08  -2.801557374484016e-08   8.367878340910591e-10  -1.308814699659540e-10  -8.021453810874530e-11   5.183948273246370e-13
2008 01 28 12 54493.500	  1.975596103638729e-08  -2.948768777229013e-08   8.792407085223589e-10  -1.323655834368080e-10  -8.169621596047600e-11   5.237193779579460e-13
2008 01 29 12 54494.500	  2.279221467870730e-08  -3.021304552672017e-08   9.133301348949589e-10  -1.339343349652120e-10  -8.312629334711111e-11   5.288446359253780e-13
2008 01 30 12 54495.500	  2.478193334046829e-08  -3.053512113258013e-08   9.524818597900595e-10  -1.357619412920920e-10  -8.464626495377160e-11   5.340224395791380e-13
2008 01 31 12 54496.500	  2.669263511514731e-08  -3.097909314057006e-08   9.917551328846575e-10  -1.377362306265980e-10  -8.628336960975320e-11   5.394018337316420e-13
2008 02 01 12 54497.500	  2.749499573658531e-08  -3.069018834542000e-08   1.020584062277958e-09  -1.397791644622830e-10  -8.801509917323750e-11   5.447702304073810e-13
2008 02 02 12 54498.500	  2.826642999077329e-08  -2.988996291246998e-08   1.040555733401459e-09  -1.419836535296850e-10  -8.989253451007630e-11   5.499524172007500e-13
