1998 01 01 00 50814.0	 -3.359842246295030e-09  -1.940070919892023e-08  -2.083771031699959e-11   3.584878794729409e-08  -7.436624398384862e-08   2.233148847192291e-10
1998 01 01 03 50814.125	 -4.524618942514816e-10  -1.168246864456126e-08  -1.167191156533849e-11   1.125115519712257e-08  -9.155420538247916e-08   2.148207404540670e-10
1998 01 01 06 50814.250	 -7.744249141662821e-09  -2.689600441878760e-09  -2.893264174061110e-11  -4.019647477397058e-08  -8.848343095081396e-08   2.782560888438633e-10
1998 01 01 09 50814.375	 -1.458687462423957e-08   5.967393007928985e-10  -3.211720956680768e-11  -7.832951319131771e-08  -1.728784057970091e-08   3.272495359332667e-10
1998 01 01 12 50814.500	 -1.597571668495364e-08  -5.604955779797489e-09  -2.482542522158156e-11  -8.640254969933109e-08   1.216053473021685e-08   3.146551753071280e-10
1998 01 01 15 50814.625	 -2.019476956539835e-08  -7.493805104867342e-09  -1.950203073245032e-12  -1.030304225208984e-07   8.561125991665606e-09   2.720397624515421e-10
1998 01 01 18 50814.750	 -1.187999369187538e-08  -3.410320481482867e-10   2.561175360981089e-11  -1.158118585571104e-07   6.324590542512897e-09   3.298850446763827e-10
1998 01 01 21 50814.875	 -6.271244159505872e-10   1.870725292619019e-08   6.461241063058301e-11  -9.793818737490250e-08   6.897522425845768e-08   3.999137255540787e-10
1998 01 02 00 50815.0	 -8.010498281446381e-10   2.624101603980974e-08   8.505906982501766e-11  -7.703470244069600e-08   9.902147504373436e-08   3.604888451588704e-10
1998 01 02 03 50815.125	 -6.289950524863068e-09   1.657045343575866e-08   9.651708812409040e-11  -1.071314579386969e-07   4.854646103592596e-08   2.950056156205474e-10
1998 01 02 06 50815.250	 -1.116978969443979e-08  -1.316106651885755e-08   5.445271221584972e-11  -1.410590527683628e-07   1.162290252710159e-08   3.304665262743256e-10
1998 01 02 09 50815.375	 -1.670528171179505e-08  -3.400061323926757e-08   9.120806759538546e-12  -9.356594360561142e-08   6.868365050202536e-08   3.999738697323437e-10
1998 01 02 12 50815.500	 -2.728692976172632e-08  -4.001189308528487e-08  -1.612126028476958e-11  -6.041820637442108e-08   9.696118436802336e-08   3.529534317525483e-10
1998 01 02 15 50815.625	 -4.735572233001195e-08  -5.254366086319462e-08  -5.303460973784237e-11  -7.741869362683290e-08   9.263741747346977e-08   2.264923205114492e-10
1998 01 02 18 50815.750	 -5.257881495826978e-08  -7.102232814988906e-08  -8.860336182226030e-11  -5.808377722835982e-08   7.731748859861127e-08   1.987635150298408e-10
1998 01 02 21 50815.875	 -4.051400409428390e-08  -6.893943823712945e-08  -1.323011649125313e-10  -2.388238069092903e-08   5.829256577376428e-08   2.359206086615401e-10
1998 01 03 00 50816.0	 -1.930188844130183e-08  -5.386717310022189e-08  -1.862622430986307e-10   9.620219102067797e-09   3.257913408116427e-08   2.018635727765640e-10
1998 01 03 03 50816.125	  7.571140297470126e-09  -4.231045319785018e-08  -1.723028588937555e-10   3.520156646320064e-08  -2.068780898875040e-08   9.603677712942120e-11
1998 01 03 06 50816.250	  2.609448662122118e-08  -4.021413692193464e-08  -9.899801482605413e-11   2.785745131401909e-08  -6.110182496387960e-08   2.587802120864507e-11
1998 01 03 09 50816.375	  3.289579180439309e-08  -3.798424172221665e-08  -5.532714650229607e-11   5.071209842078060e-08  -5.336282232454246e-08   4.314024198898406e-11
1998 01 03 12 50816.500	  3.139724293595675e-08  -4.329254769172269e-08  -5.170338473222685e-11   4.224413654171872e-08  -4.521166059565198e-08   4.260403394929794e-11
1998 01 03 15 50816.625	  1.914078671229264e-08  -5.213439928332483e-08  -3.740308951853885e-11  -2.568793918843625e-09  -3.856317497523531e-08  -8.390667316617093e-12
1998 01 03 18 50816.750	  1.351296410471417e-09  -5.537853404628653e-08  -3.505553402158897e-11  -7.057995812651620e-09  -1.558570120809381e-09   1.426770651719504e-11
1998 01 03 21 50816.875	 -1.664813833123375e-08  -4.324920284788875e-08  -2.636820137868782e-11   2.043659439591356e-08   4.526442707124257e-08   1.029665548320300e-10
1998 01 04 00 50817.0	 -3.377710694187218e-08  -2.122176188037606e-08  -1.045518132432039e-11   5.842925079304160e-08   9.055162795751766e-08   1.721767078907802e-10
1998 01 04 03 50817.125	 -5.028696789531247e-08  -8.283960854353162e-09   3.772515073776227e-11   7.012874046932565e-08   9.914939789823488e-08   1.398218869327171e-10
1998 01 04 06 50817.250	 -6.446186422293995e-08  -8.395949046097497e-09   7.431517869429436e-11   5.229093336687070e-08   5.839633607695676e-08   9.461344062732382e-11
1998 01 04 09 50817.375	 -5.759120717701264e-08  -1.438078030742016e-08   7.266354929296214e-11   4.054211861998893e-08   2.538032085095698e-08   1.100082595663239e-10
1998 01 04 12 50817.500	 -3.162646245518510e-08  -2.579340838768421e-08   5.748035115349770e-11   4.662122268745637e-08  -1.130130680533918e-08   1.231267078956312e-10
1998 01 04 15 50817.625	 -1.082768212021908e-08  -3.373175949803039e-08   7.028933980728132e-11   4.337347220598702e-08   8.345540545444894e-09   8.302257889667207e-11
1998 01 04 18 50817.750	  2.488703002504948e-09  -4.773149675703026e-08   7.387253668451562e-11   6.008286821089438e-08   2.072609668555107e-08   3.057700596447389e-11
1998 01 04 21 50817.875	  2.110270374104223e-09  -7.056436714952911e-08   4.616201438757233e-11   6.402476777077896e-08  -2.107428301590618e-08   6.623593597558814e-12
1998 01 05 00 50818.0	 -7.954399954923313e-09  -1.032153115265253e-07   1.618539762437108e-12   9.074429975276359e-08  -1.767294022655836e-08   2.785660216736881e-12
