61117 	 0.10444655 	 0.39932470 	 0.059752285 	nan 	nan 	nan 	 0.38050 	-0.14038
61118 	 0.10346744 	 0.39930116 	 0.058624864 	nan 	nan 	nan 	 0.47662 	-0.05787
61119 	 0.10154741 	 0.39921389 	 0.056972980 	nan 	nan 	nan 	 0.45012 	-0.07423
61120 	 0.10026107 	 0.39881600 	 0.055681705 	nan 	nan 	nan 	 0.42362 	-0.11539
61121 	 0.09998950 	 0.39907070 	 0.054022789 	nan 	nan 	nan 	 0.38396 	-0.20591
61122 	 0.10034251 	 0.39975144 	 0.053145409 	nan 	nan 	nan 	 0.33013 	-0.30760
61123 	 0.10084249 	 0.40032415 	 0.052751541 	nan 	nan 	nan 	 0.32098 	-0.37443
61124 	 0.10281155 	 0.40067215 	 0.051799774 	nan 	nan 	nan 	 0.32178 	-0.38675
61125 	 0.10622889 	 0.40199807 	 0.051154137 	nan 	nan 	nan 	 0.34007 	-0.33973
61126 	 0.10307658 	 0.40218977 	 0.049715042 	nan 	nan 	nan 	 0.40513 	-0.28387
61127 	 0.11008543 	 0.40262145 	 0.048838615 	nan 	nan 	nan 	 0.44257 	-0.19270
