61026    0.11787648   	 0.31851354   	 0.074782491   	nan 	nan 	nan 	 0.39237   	-0.07249   	 
61027    0.11702343   	 0.31871638   	 0.075067639   	nan 	nan 	nan 	 0.37365   	-0.09403   	 
61028    0.11670783   	 0.31892375   	 0.074907780   	nan 	nan 	nan 	 0.42408   	-0.08545   	 
61029    0.11649245   	 0.31837701   	 0.074944496   	nan 	nan 	nan 	 0.45515   	-0.05043   	 
61030    0.11620857   	 0.31868119   	 0.075006962   	nan 	nan 	nan 	 0.47817   	-0.05983   	 
61031    0.11641722   	 0.31827829   	 0.075020194   	nan 	nan 	nan 	 0.45389   	-0.04856   	 
61032    0.11504936   	 0.31858802   	 0.075266838   	nan 	nan 	nan 	 0.45177   	-0.07018   	 
61033    0.11443854   	 0.31838139   	 0.074199200   	nan 	nan 	nan 	 0.45441   	-0.07368   	 
61034    0.11378836   	 0.31842386   	 0.073081970   	nan 	nan 	nan 	 0.44711   	-0.03776   	 
61035    0.11381555   	 0.31982897   	 0.070953369   	nan 	nan 	nan 	 0.44703   	-0.01138   	 
61036    0.10867490   	 0.31915086   	 0.069971085   	nan 	nan 	nan 	 0.46293   	 0.01199   	 
